system has 32 processor(s). 
time elapsed: 15.622510 sec, perf: 16.002550 GFLOPS, cpu_id: 16
time elapsed: 15.621605 sec, perf: 16.003477 GFLOPS, cpu_id: 2
time elapsed: 15.591747 sec, perf: 16.034124 GFLOPS, cpu_id: 24
time elapsed: 15.499130 sec, perf: 16.129938 GFLOPS, cpu_id: 31
time elapsed: 15.574817 sec, perf: 16.051553 GFLOPS, cpu_id: 18
time elapsed: 15.490937 sec, perf: 16.138468 GFLOPS, cpu_id: 22
time elapsed: 15.782204 sec, perf: 15.840627 GFLOPS, cpu_id: 11
time elapsed: 15.551421 sec, perf: 16.075702 GFLOPS, cpu_id: 10
time elapsed: 15.586064 sec, perf: 16.039970 GFLOPS, cpu_id: 6
time elapsed: 15.884852 sec, perf: 15.738264 GFLOPS, cpu_id: 21
time elapsed: 15.762053 sec, perf: 15.860878 GFLOPS, cpu_id: 26
time elapsed: 15.640654 sec, perf: 15.983986 GFLOPS, cpu_id: 1
time elapsed: 15.525498 sec, perf: 16.102543 GFLOPS, cpu_id: 14
time elapsed: 15.596149 sec, perf: 16.029598 GFLOPS, cpu_id: 19
time elapsed: 15.836299 sec, perf: 15.786517 GFLOPS, cpu_id: 12
time elapsed: 15.728027 sec, perf: 15.895191 GFLOPS, cpu_id: 30
time elapsed: 16.131911 sec, perf: 15.497234 GFLOPS, cpu_id: 23
time elapsed: 16.258611 sec, perf: 15.376467 GFLOPS, cpu_id: 4
node10
system has 32 processor(s). 
time elapsed: 15.299137 sec, perf: 16.340791 GFLOPS, cpu_id: 30
time elapsed: 15.813246 sec, perf: 15.809531 GFLOPS, cpu_id: 9
time elapsed: 15.570541 sec, perf: 16.055961 GFLOPS, cpu_id: 27
time elapsed: 15.881670 sec, perf: 15.741418 GFLOPS, cpu_id: 6
time elapsed: 15.641758 sec, perf: 15.982859 GFLOPS, cpu_id: 23
time elapsed: 15.643080 sec, perf: 15.981508 GFLOPS, cpu_id: 10
time elapsed: 15.730578 sec, perf: 15.892613 GFLOPS, cpu_id: 13
time elapsed: 15.588870 sec, perf: 16.037083 GFLOPS, cpu_id: 5
time elapsed: 15.529581 sec, perf: 16.098309 GFLOPS, cpu_id: 18
time elapsed: 15.760784 sec, perf: 15.862155 GFLOPS, cpu_id: 8
time elapsed: 15.885982 sec, perf: 15.737145 GFLOPS, cpu_id: 11
time elapsed: 15.629771 sec, perf: 15.995116 GFLOPS, cpu_id: 25
time elapsed: 15.644822 sec, perf: 15.979728 GFLOPS, cpu_id: 3
time elapsed: 15.971135 sec, perf: 15.653240 GFLOPS, cpu_id: 1
time elapsed: 15.557971 sec, perf: 16.068933 GFLOPS, cpu_id: 29
time elapsed: 15.949167 sec, perf: 15.674800 GFLOPS, cpu_id: 15
time elapsed: 15.509365 sec, perf: 16.119293 GFLOPS, cpu_id: 28
time elapsed: 15.669851 sec, perf: 15.954204 GFLOPS, cpu_id: 16
time elapsed: 15.618624 sec, perf: 16.006532 GFLOPS, cpu_id: 2
time elapsed: 15.998509 sec, perf: 15.626456 GFLOPS, cpu_id: 4
time elapsed: 15.562355 sec, perf: 16.064407 GFLOPS, cpu_id: 20
time elapsed: 15.544629 sec, perf: 16.082725 GFLOPS, cpu_id: 19
time elapsed: 15.778834 sec, perf: 15.844009 GFLOPS, cpu_id: 7
time elapsed: 15.857117 sec, perf: 15.765791 GFLOPS, cpu_id: 22
time elapsed: 16.105333 sec, perf: 15.522809 GFLOPS, cpu_id: 14
time elapsed: 15.769284 sec, perf: 15.853605 GFLOPS, cpu_id: 24
time elapsed: 15.543950 sec, perf: 16.083428 GFLOPS, cpu_id: 21
time elapsed: 16.033533 sec, perf: 15.592322 GFLOPS, cpu_id: 12
time elapsed: 15.738750 sec, perf: 15.884362 GFLOPS, cpu_id: 17
time elapsed: 16.232454 sec, perf: 15.401245 GFLOPS, cpu_id: 0
time elapsed: 16.395616 sec, perf: 15.247978 GFLOPS, cpu_id: 26
