time elapsed: 19.191102 sec, perf: 13.026870 GFLOPS, cpu_id: 14
time elapsed: 19.109927 sec, perf: 13.082206 GFLOPS, cpu_id: 3
time elapsed: 19.163212 sec, perf: 13.045830 GFLOPS, cpu_id: 25
time elapsed: 19.102906 sec, perf: 13.087014 GFLOPS, cpu_id: 16
time elapsed: 19.084147 sec, perf: 13.099878 GFLOPS, cpu_id: 23
time elapsed: 19.065855 sec, perf: 13.112446 GFLOPS, cpu_id: 30
time elapsed: 19.151736 sec, perf: 13.053647 GFLOPS, cpu_id: 29
time elapsed: 19.140376 sec, perf: 13.061394 GFLOPS, cpu_id: 11
time elapsed: 19.004478 sec, perf: 13.154794 GFLOPS, cpu_id: 22
time elapsed: 19.073460 sec, perf: 13.107218 GFLOPS, cpu_id: 15
time elapsed: 19.113367 sec, perf: 13.079851 GFLOPS, cpu_id: 1
time elapsed: 19.140690 sec, perf: 13.061180 GFLOPS, cpu_id: 26
time elapsed: 19.210169 sec, perf: 13.013940 GFLOPS, cpu_id: 4
time elapsed: 19.348286 sec, perf: 12.921041 GFLOPS, cpu_id: 28
time elapsed: 19.089902 sec, perf: 13.095929 GFLOPS, cpu_id: 31
time elapsed: 19.415420 sec, perf: 12.876363 GFLOPS, cpu_id: 19
time elapsed: 19.555824 sec, perf: 12.783915 GFLOPS, cpu_id: 18
time elapsed: 19.369704 sec, perf: 12.906754 GFLOPS, cpu_id: 17
time elapsed: 19.433812 sec, perf: 12.864177 GFLOPS, cpu_id: 13
time elapsed: 19.661598 sec, perf: 12.715141 GFLOPS, cpu_id: 7
time elapsed: 19.355142 sec, perf: 12.916464 GFLOPS, cpu_id: 27
time elapsed: 19.895624 sec, perf: 12.565577 GFLOPS, cpu_id: 21
time elapsed: 19.577880 sec, perf: 12.769513 GFLOPS, cpu_id: 8
time elapsed: 19.432669 sec, perf: 12.864933 GFLOPS, cpu_id: 10
time elapsed: 19.809118 sec, perf: 12.620451 GFLOPS, cpu_id: 9
time elapsed: 19.911351 sec, perf: 12.555652 GFLOPS, cpu_id: 12
time elapsed: 19.669051 sec, perf: 12.710324 GFLOPS, cpu_id: 20
time elapsed: 19.824035 sec, perf: 12.610955 GFLOPS, cpu_id: 0
time elapsed: 19.690246 sec, perf: 12.696642 GFLOPS, cpu_id: 5
time elapsed: 19.209650 sec, perf: 13.014292 GFLOPS, cpu_id: 24
time elapsed: 19.575364 sec, perf: 12.771154 GFLOPS, cpu_id: 6
time elapsed: 19.818474 sec, perf: 12.614493 GFLOPS, cpu_id: 2
time elapsed: 19.238123 sec, perf: 12.995031 GFLOPS, cpu_id: 11
time elapsed: 19.148232 sec, perf: 13.056036 GFLOPS, cpu_id: 24
time elapsed: 18.966111 sec, perf: 13.181406 GFLOPS, cpu_id: 28
time elapsed: 19.057731 sec, perf: 13.118036 GFLOPS, cpu_id: 26
time elapsed: 19.022690 sec, perf: 13.142200 GFLOPS, cpu_id: 23
time elapsed: 19.027246 sec, perf: 13.139053 GFLOPS, cpu_id: 31
time elapsed: 19.075748 sec, perf: 13.105646 GFLOPS, cpu_id: 14
time elapsed: 19.114924 sec, perf: 13.078786 GFLOPS, cpu_id: 18
time elapsed: 19.227772 sec, perf: 13.002026 GFLOPS, cpu_id: 20
time elapsed: 19.051896 sec, perf: 13.122054 GFLOPS, cpu_id: 17
time elapsed: 19.125217 sec, perf: 13.071747 GFLOPS, cpu_id: 13
time elapsed: 19.277975 sec, perf: 12.968167 GFLOPS, cpu_id: 6
time elapsed: 19.008064 sec, perf: 13.152313 GFLOPS, cpu_id: 19
time elapsed: 19.018201 sec, perf: 13.145302 GFLOPS, cpu_id: 4
time elapsed: 18.989516 sec, perf: 13.165159 GFLOPS, cpu_id: 30
time elapsed: 19.289199 sec, perf: 12.960621 GFLOPS, cpu_id: 29
time elapsed: 18.979361 sec, perf: 13.172203 GFLOPS, cpu_id: 21
time elapsed: 19.292847 sec, perf: 12.958170 GFLOPS, cpu_id: 27
time elapsed: 19.080177 sec, perf: 13.102604 GFLOPS, cpu_id: 9
time elapsed: 19.307148 sec, perf: 12.948572 GFLOPS, cpu_id: 2
time elapsed: 19.280201 sec, perf: 12.966670 GFLOPS, cpu_id: 5
time elapsed: 19.271843 sec, perf: 12.972294 GFLOPS, cpu_id: 7
time elapsed: 19.275893 sec, perf: 12.969568 GFLOPS, cpu_id: 0
time elapsed: 19.325992 sec, perf: 12.935947 GFLOPS, cpu_id: 15
time elapsed: 19.288927 sec, perf: 12.960804 GFLOPS, cpu_id: 12
time elapsed: 19.134263 sec, perf: 13.065567 GFLOPS, cpu_id: 10
time elapsed: 19.310789 sec, perf: 12.946131 GFLOPS, cpu_id: 25
time elapsed: 19.015785 sec, perf: 13.146972 GFLOPS, cpu_id: 22
time elapsed: 19.353210 sec, perf: 12.917753 GFLOPS, cpu_id: 3
