time elapsed: 15.572190 sec, perf: 16.054261 GFLOPS, cpu_id: 6
time elapsed: 16.144119 sec, perf: 15.485515 GFLOPS, cpu_id: 14
time elapsed: 15.632471 sec, perf: 15.992354 GFLOPS, cpu_id: 0
time elapsed: 15.597179 sec, perf: 16.028539 GFLOPS, cpu_id: 11
time elapsed: 15.595320 sec, perf: 16.030450 GFLOPS, cpu_id: 20
time elapsed: 16.104747 sec, perf: 15.523373 GFLOPS, cpu_id: 4
time elapsed: 15.511681 sec, perf: 16.116887 GFLOPS, cpu_id: 23
time elapsed: 15.576362 sec, perf: 16.049961 GFLOPS, cpu_id: 7
time elapsed: 15.654403 sec, perf: 15.969948 GFLOPS, cpu_id: 16
time elapsed: 16.029296 sec, perf: 15.596443 GFLOPS, cpu_id: 28
time elapsed: 15.751694 sec, perf: 15.871309 GFLOPS, cpu_id: 18
time elapsed: 15.752470 sec, perf: 15.870527 GFLOPS, cpu_id: 3
time elapsed: 15.815271 sec, perf: 15.807507 GFLOPS, cpu_id: 5
time elapsed: 15.838304 sec, perf: 15.784519 GFLOPS, cpu_id: 24
time elapsed: 15.933870 sec, perf: 15.689848 GFLOPS, cpu_id: 10
time elapsed: 16.234349 sec, perf: 15.399447 GFLOPS, cpu_id: 26
time elapsed: 16.203486 sec, perf: 15.428778 GFLOPS, cpu_id: 22
time elapsed: 15.878215 sec, perf: 15.744843 GFLOPS, cpu_id: 21
time elapsed: 16.149162 sec, perf: 15.480679 GFLOPS, cpu_id: 27
time elapsed: 16.171662 sec, perf: 15.459141 GFLOPS, cpu_id: 15
time elapsed: 15.612796 sec, perf: 16.012506 GFLOPS, cpu_id: 19
time elapsed: 16.174454 sec, perf: 15.456472 GFLOPS, cpu_id: 31
time elapsed: 16.096324 sec, perf: 15.531497 GFLOPS, cpu_id: 17
time elapsed: 16.355656 sec, perf: 15.285232 GFLOPS, cpu_id: 8
time elapsed: 16.263515 sec, perf: 15.371831 GFLOPS, cpu_id: 29
time elapsed: 16.137498 sec, perf: 15.491868 GFLOPS, cpu_id: 25
time elapsed: 16.480826 sec, perf: 15.169142 GFLOPS, cpu_id: 13
time elapsed: 16.383493 sec, perf: 15.259261 GFLOPS, cpu_id: 9
time elapsed: 16.497948 sec, perf: 15.153400 GFLOPS, cpu_id: 30
time elapsed: 16.549863 sec, perf: 15.105865 GFLOPS, cpu_id: 1
time elapsed: 16.286130 sec, perf: 15.350486 GFLOPS, cpu_id: 2
time elapsed: 16.365631 sec, perf: 15.275916 GFLOPS, cpu_id: 12
time elapsed: 16.001920 sec, perf: 15.623125 GFLOPS, cpu_id: 7
time elapsed: 16.381986 sec, perf: 15.260665 GFLOPS, cpu_id: 14
time elapsed: 15.476275 sec, perf: 16.153758 GFLOPS, cpu_id: 0
time elapsed: 15.531682 sec, perf: 16.096132 GFLOPS, cpu_id: 28
time elapsed: 15.593765 sec, perf: 16.032049 GFLOPS, cpu_id: 22
time elapsed: 15.568207 sec, perf: 16.058368 GFLOPS, cpu_id: 26
time elapsed: 15.533373 sec, perf: 16.094380 GFLOPS, cpu_id: 10
time elapsed: 15.498182 sec, perf: 16.130925 GFLOPS, cpu_id: 2
time elapsed: 15.543959 sec, perf: 16.083418 GFLOPS, cpu_id: 27
time elapsed: 15.498567 sec, perf: 16.130523 GFLOPS, cpu_id: 21
time elapsed: 15.649372 sec, perf: 15.975082 GFLOPS, cpu_id: 20
time elapsed: 15.787828 sec, perf: 15.834984 GFLOPS, cpu_id: 3
time elapsed: 15.517893 sec, perf: 16.110435 GFLOPS, cpu_id: 15
time elapsed: 15.522867 sec, perf: 16.105273 GFLOPS, cpu_id: 31
time elapsed: 15.695585 sec, perf: 15.928046 GFLOPS, cpu_id: 23
time elapsed: 16.101051 sec, perf: 15.526937 GFLOPS, cpu_id: 30
time elapsed: 16.146267 sec, perf: 15.483456 GFLOPS, cpu_id: 12
time elapsed: 15.760869 sec, perf: 15.862070 GFLOPS, cpu_id: 8
time elapsed: 15.906082 sec, perf: 15.717259 GFLOPS, cpu_id: 19
time elapsed: 16.355933 sec, perf: 15.284973 GFLOPS, cpu_id: 13
time elapsed: 16.225596 sec, perf: 15.407754 GFLOPS, cpu_id: 18
time elapsed: 16.251730 sec, perf: 15.382978 GFLOPS, cpu_id: 1
time elapsed: 15.852291 sec, perf: 15.770591 GFLOPS, cpu_id: 29
time elapsed: 16.159485 sec, perf: 15.470790 GFLOPS, cpu_id: 16
time elapsed: 16.006367 sec, perf: 15.618785 GFLOPS, cpu_id: 6
time elapsed: 16.373144 sec, perf: 15.268906 GFLOPS, cpu_id: 4
time elapsed: 16.441273 sec, perf: 15.205635 GFLOPS, cpu_id: 11
time elapsed: 16.283661 sec, perf: 15.352813 GFLOPS, cpu_id: 5
time elapsed: 16.490642 sec, perf: 15.160113 GFLOPS, cpu_id: 24
time elapsed: 16.402724 sec, perf: 15.241371 GFLOPS, cpu_id: 25
time elapsed: 16.129703 sec, perf: 15.499355 GFLOPS, cpu_id: 17
time elapsed: 16.466352 sec, perf: 15.182476 GFLOPS, cpu_id: 9
time elapsed: 15.599086 sec, perf: 16.026580 GFLOPS, cpu_id: 26
time elapsed: 15.784704 sec, perf: 15.838117 GFLOPS, cpu_id: 30
time elapsed: 15.745843 sec, perf: 15.877207 GFLOPS, cpu_id: 7
time elapsed: 15.773369 sec, perf: 15.849499 GFLOPS, cpu_id: 1
time elapsed: 15.578026 sec, perf: 16.048247 GFLOPS, cpu_id: 20
time elapsed: 15.784102 sec, perf: 15.838722 GFLOPS, cpu_id: 16
time elapsed: 15.527890 sec, perf: 16.100063 GFLOPS, cpu_id: 28
time elapsed: 15.781749 sec, perf: 15.841083 GFLOPS, cpu_id: 21
time elapsed: 15.759403 sec, perf: 15.863545 GFLOPS, cpu_id: 25
time elapsed: 15.762835 sec, perf: 15.860091 GFLOPS, cpu_id: 2
time elapsed: 15.506742 sec, perf: 16.122020 GFLOPS, cpu_id: 22
time elapsed: 15.585171 sec, perf: 16.040889 GFLOPS, cpu_id: 31
time elapsed: 15.496907 sec, perf: 16.132251 GFLOPS, cpu_id: 29
time elapsed: 15.700660 sec, perf: 15.922898 GFLOPS, cpu_id: 8
time elapsed: 15.539509 sec, perf: 16.088024 GFLOPS, cpu_id: 19
time elapsed: 15.781795 sec, perf: 15.841037 GFLOPS, cpu_id: 17
time elapsed: 15.663878 sec, perf: 15.960287 GFLOPS, cpu_id: 12
time elapsed: 15.759316 sec, perf: 15.863632 GFLOPS, cpu_id: 11
time elapsed: 15.519579 sec, perf: 16.108684 GFLOPS, cpu_id: 18
time elapsed: 15.567886 sec, perf: 16.058699 GFLOPS, cpu_id: 4
time elapsed: 15.684394 sec, perf: 15.939411 GFLOPS, cpu_id: 5
time elapsed: 15.924401 sec, perf: 15.699178 GFLOPS, cpu_id: 10
time elapsed: 15.676274 sec, perf: 15.947667 GFLOPS, cpu_id: 13
time elapsed: 15.620929 sec, perf: 16.004170 GFLOPS, cpu_id: 15
time elapsed: 15.827595 sec, perf: 15.795198 GFLOPS, cpu_id: 14
time elapsed: 15.784967 sec, perf: 15.837854 GFLOPS, cpu_id: 27
time elapsed: 16.135678 sec, perf: 15.493617 GFLOPS, cpu_id: 6
time elapsed: 15.757789 sec, perf: 15.865170 GFLOPS, cpu_id: 9
time elapsed: 15.832608 sec, perf: 15.790197 GFLOPS, cpu_id: 0
time elapsed: 15.550467 sec, perf: 16.076688 GFLOPS, cpu_id: 23
time elapsed: 15.790030 sec, perf: 15.832776 GFLOPS, cpu_id: 3
time elapsed: 16.144867 sec, perf: 15.484798 GFLOPS, cpu_id: 24
time elapsed: 15.554412 sec, perf: 16.072610 GFLOPS, cpu_id: 1
time elapsed: 15.722289 sec, perf: 15.900992 GFLOPS, cpu_id: 6
time elapsed: 15.558436 sec, perf: 16.068454 GFLOPS, cpu_id: 11
time elapsed: 15.886093 sec, perf: 15.737035 GFLOPS, cpu_id: 22
time elapsed: 15.613313 sec, perf: 16.011977 GFLOPS, cpu_id: 5
time elapsed: 15.902938 sec, perf: 15.720366 GFLOPS, cpu_id: 19
