system has 32 processor(s). 
time elapsed: 19.176968 sec, perf: 13.036472 GFLOPS, cpu_id: 5
time elapsed: 19.177932 sec, perf: 13.035816 GFLOPS, cpu_id: 1
time elapsed: 19.280062 sec, perf: 12.966763 GFLOPS, cpu_id: 10
time elapsed: 19.245077 sec, perf: 12.990335 GFLOPS, cpu_id: 17
time elapsed: 19.285410 sec, perf: 12.963167 GFLOPS, cpu_id: 18
time elapsed: 19.286042 sec, perf: 12.962743 GFLOPS, cpu_id: 23
time elapsed: 19.311459 sec, perf: 12.945682 GFLOPS, cpu_id: 24
time elapsed: 19.263982 sec, perf: 12.977587 GFLOPS, cpu_id: 3
time elapsed: 19.302093 sec, perf: 12.951963 GFLOPS, cpu_id: 25
time elapsed: 19.311050 sec, perf: 12.945956 GFLOPS, cpu_id: 22
time elapsed: 19.074318 sec, perf: 13.106628 GFLOPS, cpu_id: 19
time elapsed: 19.302104 sec, perf: 12.951956 GFLOPS, cpu_id: 15
time elapsed: 19.133646 sec, perf: 13.065989 GFLOPS, cpu_id: 29
time elapsed: 19.281063 sec, perf: 12.966090 GFLOPS, cpu_id: 7
time elapsed: 19.128654 sec, perf: 13.069398 GFLOPS, cpu_id: 26
time elapsed: 19.220925 sec, perf: 13.006658 GFLOPS, cpu_id: 9
time elapsed: 19.292203 sec, perf: 12.958603 GFLOPS, cpu_id: 2
time elapsed: 19.166251 sec, perf: 13.043761 GFLOPS, cpu_id: 21
time elapsed: 19.106741 sec, perf: 13.084388 GFLOPS, cpu_id: 28
time elapsed: 19.233153 sec, perf: 12.998389 GFLOPS, cpu_id: 16
time elapsed: 19.152829 sec, perf: 13.052902 GFLOPS, cpu_id: 12
time elapsed: 19.118428 sec, perf: 13.076389 GFLOPS, cpu_id: 13
time elapsed: 19.100177 sec, perf: 13.088884 GFLOPS, cpu_id: 14
time elapsed: 19.086301 sec, perf: 13.098400 GFLOPS, cpu_id: 6
time elapsed: 19.202450 sec, perf: 13.019172 GFLOPS, cpu_id: 20
time elapsed: 19.187433 sec, perf: 13.029361 GFLOPS, cpu_id: 31
time elapsed: 19.151359 sec, perf: 13.053904 GFLOPS, cpu_id: 11
time elapsed: 19.540301 sec, perf: 12.794071 GFLOPS, cpu_id: 0
time elapsed: 19.551159 sec, perf: 12.786966 GFLOPS, cpu_id: 27
time elapsed: 19.320052 sec, perf: 12.939924 GFLOPS, cpu_id: 8
time elapsed: 19.189254 sec, perf: 13.028125 GFLOPS, cpu_id: 4
time elapsed: 19.152895 sec, perf: 13.052857 GFLOPS, cpu_id: 30
gpu04
system has 32 processor(s). 
time elapsed: 19.008245 sec, perf: 13.152187 GFLOPS, cpu_id: 30
time elapsed: 19.053268 sec, perf: 13.121109 GFLOPS, cpu_id: 0
time elapsed: 19.311830 sec, perf: 12.945433 GFLOPS, cpu_id: 29
time elapsed: 18.989297 sec, perf: 13.165311 GFLOPS, cpu_id: 25
time elapsed: 19.021226 sec, perf: 13.143212 GFLOPS, cpu_id: 24
time elapsed: 18.993800 sec, perf: 13.162190 GFLOPS, cpu_id: 14
time elapsed: 19.075924 sec, perf: 13.105525 GFLOPS, cpu_id: 31
time elapsed: 19.040470 sec, perf: 13.129928 GFLOPS, cpu_id: 11
time elapsed: 19.094771 sec, perf: 13.092589 GFLOPS, cpu_id: 4
time elapsed: 19.327059 sec, perf: 12.935232 GFLOPS, cpu_id: 12
time elapsed: 19.321924 sec, perf: 12.938670 GFLOPS, cpu_id: 16
time elapsed: 19.350007 sec, perf: 12.919892 GFLOPS, cpu_id: 2
time elapsed: 18.997020 sec, perf: 13.159959 GFLOPS, cpu_id: 17
time elapsed: 19.221484 sec, perf: 13.006280 GFLOPS, cpu_id: 18
time elapsed: 19.544521 sec, perf: 12.791309 GFLOPS, cpu_id: 26
time elapsed: 19.552129 sec, perf: 12.786331 GFLOPS, cpu_id: 9
time elapsed: 19.323717 sec, perf: 12.937469 GFLOPS, cpu_id: 23
