gpu01
system has 32 processor(s). 
time elapsed: 18.981281 sec, perf: 13.170870 GFLOPS, cpu_id: 13
time elapsed: 18.940966 sec, perf: 13.198905 GFLOPS, cpu_id: 4
time elapsed: 19.151138 sec, perf: 13.054055 GFLOPS, cpu_id: 23
time elapsed: 18.954245 sec, perf: 13.189658 GFLOPS, cpu_id: 16
time elapsed: 19.122306 sec, perf: 13.073737 GFLOPS, cpu_id: 1
time elapsed: 18.966852 sec, perf: 13.180891 GFLOPS, cpu_id: 29
time elapsed: 19.181970 sec, perf: 13.033072 GFLOPS, cpu_id: 31
time elapsed: 19.148189 sec, perf: 13.056065 GFLOPS, cpu_id: 10
time elapsed: 19.176673 sec, perf: 13.036672 GFLOPS, cpu_id: 21
time elapsed: 19.029783 sec, perf: 13.137301 GFLOPS, cpu_id: 18
time elapsed: 19.147448 sec, perf: 13.056570 GFLOPS, cpu_id: 11
time elapsed: 19.020706 sec, perf: 13.143571 GFLOPS, cpu_id: 8
time elapsed: 19.001241 sec, perf: 13.157035 GFLOPS, cpu_id: 5
time elapsed: 18.958000 sec, perf: 13.187045 GFLOPS, cpu_id: 28
time elapsed: 19.022216 sec, perf: 13.142528 GFLOPS, cpu_id: 25
time elapsed: 19.146708 sec, perf: 13.057075 GFLOPS, cpu_id: 30
time elapsed: 19.218852 sec, perf: 13.008061 GFLOPS, cpu_id: 12
time elapsed: 19.030167 sec, perf: 13.137037 GFLOPS, cpu_id: 3
gpu01
system has 32 processor(s). 
time elapsed: 18.606488 sec, perf: 13.436174 GFLOPS, cpu_id: 28
time elapsed: 18.633626 sec, perf: 13.416605 GFLOPS, cpu_id: 11
time elapsed: 19.500067 sec, perf: 12.820469 GFLOPS, cpu_id: 7
time elapsed: 19.070301 sec, perf: 13.109389 GFLOPS, cpu_id: 4
time elapsed: 19.289503 sec, perf: 12.960417 GFLOPS, cpu_id: 27
time elapsed: 19.049248 sec, perf: 13.123878 GFLOPS, cpu_id: 19
time elapsed: 19.066559 sec, perf: 13.111962 GFLOPS, cpu_id: 5
time elapsed: 19.148018 sec, perf: 13.056182 GFLOPS, cpu_id: 6
time elapsed: 19.025673 sec, perf: 13.140140 GFLOPS, cpu_id: 15
time elapsed: 19.398270 sec, perf: 12.887747 GFLOPS, cpu_id: 10
time elapsed: 19.417418 sec, perf: 12.875038 GFLOPS, cpu_id: 18
time elapsed: 18.990922 sec, perf: 13.164185 GFLOPS, cpu_id: 25
time elapsed: 18.993524 sec, perf: 13.162381 GFLOPS, cpu_id: 9
time elapsed: 19.570757 sec, perf: 12.774161 GFLOPS, cpu_id: 21
time elapsed: 19.433718 sec, perf: 12.864239 GFLOPS, cpu_id: 16
time elapsed: 19.152380 sec, perf: 13.053208 GFLOPS, cpu_id: 20
time elapsed: 19.413243 sec, perf: 12.877807 GFLOPS, cpu_id: 3
time elapsed: 19.023663 sec, perf: 13.141528 GFLOPS, cpu_id: 0
time elapsed: 19.006724 sec, perf: 13.153240 GFLOPS, cpu_id: 24
time elapsed: 19.559244 sec, perf: 12.781680 GFLOPS, cpu_id: 13
time elapsed: 19.289947 sec, perf: 12.960118 GFLOPS, cpu_id: 12
time elapsed: 19.121278 sec, perf: 13.074440 GFLOPS, cpu_id: 30
time elapsed: 19.608848 sec, perf: 12.749346 GFLOPS, cpu_id: 29
time elapsed: 19.514598 sec, perf: 12.810923 GFLOPS, cpu_id: 22
time elapsed: 19.383906 sec, perf: 12.897297 GFLOPS, cpu_id: 17
time elapsed: 19.124928 sec, perf: 13.071945 GFLOPS, cpu_id: 26
time elapsed: 19.810505 sec, perf: 12.619567 GFLOPS, cpu_id: 2
time elapsed: 19.282852 sec, perf: 12.964887 GFLOPS, cpu_id: 31
time elapsed: 19.291340 sec, perf: 12.959183 GFLOPS, cpu_id: 8
time elapsed: 19.998919 sec, perf: 12.500676 GFLOPS, cpu_id: 23
time elapsed: 19.957999 sec, perf: 12.526306 GFLOPS, cpu_id: 1
time elapsed: 22.381630 sec, perf: 11.169874 GFLOPS, cpu_id: 14
gpu01
system has 32 processor(s). 
time elapsed: 18.669136 sec, perf: 13.391086 GFLOPS, cpu_id: 26
time elapsed: 19.052616 sec, perf: 13.121558 GFLOPS, cpu_id: 8
time elapsed: 18.984318 sec, perf: 13.168764 GFLOPS, cpu_id: 2
time elapsed: 19.397780 sec, perf: 12.888073 GFLOPS, cpu_id: 4
time elapsed: 19.019893 sec, perf: 13.144133 GFLOPS, cpu_id: 15
time elapsed: 19.085602 sec, perf: 13.098880 GFLOPS, cpu_id: 1
time elapsed: 18.983147 sec, perf: 13.169576 GFLOPS, cpu_id: 18
time elapsed: 19.013120 sec, perf: 13.148815 GFLOPS, cpu_id: 11
time elapsed: 19.037550 sec, perf: 13.131942 GFLOPS, cpu_id: 10
time elapsed: 19.277216 sec, perf: 12.968677 GFLOPS, cpu_id: 21
time elapsed: 19.127458 sec, perf: 13.070216 GFLOPS, cpu_id: 9
time elapsed: 19.672012 sec, perf: 12.708410 GFLOPS, cpu_id: 29
time elapsed: 18.997234 sec, perf: 13.159810 GFLOPS, cpu_id: 3
time elapsed: 19.081117 sec, perf: 13.101959 GFLOPS, cpu_id: 17
time elapsed: 19.329541 sec, perf: 12.933572 GFLOPS, cpu_id: 22
time elapsed: 19.021867 sec, perf: 13.142769 GFLOPS, cpu_id: 19
time elapsed: 19.693483 sec, perf: 12.694555 GFLOPS, cpu_id: 25
time elapsed: 19.359545 sec, perf: 12.913527 GFLOPS, cpu_id: 12
time elapsed: 19.566403 sec, perf: 12.777004 GFLOPS, cpu_id: 27
time elapsed: 19.374339 sec, perf: 12.903666 GFLOPS, cpu_id: 28
time elapsed: 19.309595 sec, perf: 12.946931 GFLOPS, cpu_id: 5
time elapsed: 19.395046 sec, perf: 12.889889 GFLOPS, cpu_id: 23
time elapsed: 19.616373 sec, perf: 12.744456 GFLOPS, cpu_id: 0
time elapsed: 19.451280 sec, perf: 12.852624 GFLOPS, cpu_id: 6
