system has 32 processor(s). 
time elapsed: 19.318701 sec, perf: 12.940829 GFLOPS, cpu_id: 25
time elapsed: 19.331329 sec, perf: 12.932375 GFLOPS, cpu_id: 13
time elapsed: 19.246927 sec, perf: 12.989087 GFLOPS, cpu_id: 22
time elapsed: 19.316134 sec, perf: 12.942548 GFLOPS, cpu_id: 3
time elapsed: 19.290901 sec, perf: 12.959477 GFLOPS, cpu_id: 20
time elapsed: 19.353264 sec, perf: 12.917718 GFLOPS, cpu_id: 5
time elapsed: 19.299309 sec, perf: 12.953832 GFLOPS, cpu_id: 0
time elapsed: 19.269331 sec, perf: 12.973984 GFLOPS, cpu_id: 28
time elapsed: 19.344789 sec, perf: 12.923377 GFLOPS, cpu_id: 2
time elapsed: 19.341617 sec, perf: 12.925496 GFLOPS, cpu_id: 9
time elapsed: 19.328423 sec, perf: 12.934320 GFLOPS, cpu_id: 6
time elapsed: 19.331303 sec, perf: 12.932393 GFLOPS, cpu_id: 4
time elapsed: 19.317658 sec, perf: 12.941527 GFLOPS, cpu_id: 31
time elapsed: 19.168761 sec, perf: 13.042053 GFLOPS, cpu_id: 17
time elapsed: 19.316122 sec, perf: 12.942556 GFLOPS, cpu_id: 1
time elapsed: 19.138049 sec, perf: 13.062983 GFLOPS, cpu_id: 27
time elapsed: 19.322897 sec, perf: 12.938019 GFLOPS, cpu_id: 23
time elapsed: 19.290093 sec, perf: 12.960020 GFLOPS, cpu_id: 7
time elapsed: 19.289560 sec, perf: 12.960378 GFLOPS, cpu_id: 24
time elapsed: 19.147209 sec, perf: 13.056733 GFLOPS, cpu_id: 16
time elapsed: 19.310333 sec, perf: 12.946436 GFLOPS, cpu_id: 11
time elapsed: 19.313265 sec, perf: 12.944471 GFLOPS, cpu_id: 21
time elapsed: 19.245154 sec, perf: 12.990283 GFLOPS, cpu_id: 29
time elapsed: 19.361280 sec, perf: 12.912369 GFLOPS, cpu_id: 8
time elapsed: 19.232522 sec, perf: 12.998815 GFLOPS, cpu_id: 15
time elapsed: 19.235959 sec, perf: 12.996493 GFLOPS, cpu_id: 14
time elapsed: 19.201819 sec, perf: 13.019600 GFLOPS, cpu_id: 30
time elapsed: 19.038351 sec, perf: 13.131390 GFLOPS, cpu_id: 18
time elapsed: 19.234377 sec, perf: 12.997562 GFLOPS, cpu_id: 26
time elapsed: 19.478183 sec, perf: 12.834873 GFLOPS, cpu_id: 19
time elapsed: 19.473026 sec, perf: 12.838272 GFLOPS, cpu_id: 12
time elapsed: 20.712191 sec, perf: 12.070186 GFLOPS, cpu_id: 10
gpu02
system has 32 processor(s). 
time elapsed: 18.840634 sec, perf: 13.269192 GFLOPS, cpu_id: 10
time elapsed: 18.637908 sec, perf: 13.413522 GFLOPS, cpu_id: 16
time elapsed: 19.006810 sec, perf: 13.153180 GFLOPS, cpu_id: 3
time elapsed: 18.985791 sec, perf: 13.167742 GFLOPS, cpu_id: 31
time elapsed: 19.035891 sec, perf: 13.133087 GFLOPS, cpu_id: 17
time elapsed: 18.995221 sec, perf: 13.161205 GFLOPS, cpu_id: 30
time elapsed: 19.043251 sec, perf: 13.128011 GFLOPS, cpu_id: 11
time elapsed: 19.067448 sec, perf: 13.111351 GFLOPS, cpu_id: 8
time elapsed: 19.035582 sec, perf: 13.133300 GFLOPS, cpu_id: 13
time elapsed: 19.479447 sec, perf: 12.834040 GFLOPS, cpu_id: 22
time elapsed: 19.181135 sec, perf: 13.033639 GFLOPS, cpu_id: 21
time elapsed: 19.467536 sec, perf: 12.841893 GFLOPS, cpu_id: 15
time elapsed: 19.191706 sec, perf: 13.026460 GFLOPS, cpu_id: 6
time elapsed: 19.594431 sec, perf: 12.758727 GFLOPS, cpu_id: 24
time elapsed: 19.260180 sec, perf: 12.980149 GFLOPS, cpu_id: 28
time elapsed: 19.095415 sec, perf: 13.092148 GFLOPS, cpu_id: 18
time elapsed: 19.223004 sec, perf: 13.005251 GFLOPS, cpu_id: 1
time elapsed: 19.531737 sec, perf: 12.799681 GFLOPS, cpu_id: 7
time elapsed: 19.285908 sec, perf: 12.962833 GFLOPS, cpu_id: 19
time elapsed: 19.259276 sec, perf: 12.980758 GFLOPS, cpu_id: 29
time elapsed: 19.359686 sec, perf: 12.913433 GFLOPS, cpu_id: 12
time elapsed: 19.667199 sec, perf: 12.711520 GFLOPS, cpu_id: 0
time elapsed: 19.345717 sec, perf: 12.922757 GFLOPS, cpu_id: 26
time elapsed: 19.682671 sec, perf: 12.701528 GFLOPS, cpu_id: 9
time elapsed: 19.525434 sec, perf: 12.803813 GFLOPS, cpu_id: 23
time elapsed: 19.633950 sec, perf: 12.733047 GFLOPS, cpu_id: 2
time elapsed: 19.710748 sec, perf: 12.683435 GFLOPS, cpu_id: 14
time elapsed: 19.649897 sec, perf: 12.722713 GFLOPS, cpu_id: 25
time elapsed: 19.270340 sec, perf: 12.973305 GFLOPS, cpu_id: 4
time elapsed: 19.613341 sec, perf: 12.746426 GFLOPS, cpu_id: 5
time elapsed: 20.377767 sec, perf: 12.268272 GFLOPS, cpu_id: 27
time elapsed: 20.894145 sec, perf: 11.965075 GFLOPS, cpu_id: 20
gpu02
system has 32 processor(s). 
time elapsed: 19.477865 sec, perf: 12.835082 GFLOPS, cpu_id: 1
time elapsed: 19.056418 sec, perf: 13.118940 GFLOPS, cpu_id: 3
time elapsed: 18.953802 sec, perf: 13.189966 GFLOPS, cpu_id: 8
time elapsed: 19.262543 sec, perf: 12.978556 GFLOPS, cpu_id: 21
time elapsed: 19.033938 sec, perf: 13.134434 GFLOPS, cpu_id: 29
time elapsed: 18.979398 sec, perf: 13.172177 GFLOPS, cpu_id: 13
time elapsed: 19.041639 sec, perf: 13.129122 GFLOPS, cpu_id: 30
time elapsed: 19.087792 sec, perf: 13.097377 GFLOPS, cpu_id: 10
time elapsed: 19.034041 sec, perf: 13.134363 GFLOPS, cpu_id: 4
time elapsed: 18.971774 sec, perf: 13.177471 GFLOPS, cpu_id: 12
time elapsed: 19.262755 sec, perf: 12.978413 GFLOPS, cpu_id: 24
time elapsed: 18.978614 sec, perf: 13.172722 GFLOPS, cpu_id: 17
time elapsed: 18.965751 sec, perf: 13.181656 GFLOPS, cpu_id: 25
time elapsed: 19.000006 sec, perf: 13.157891 GFLOPS, cpu_id: 19
time elapsed: 19.105536 sec, perf: 13.085212 GFLOPS, cpu_id: 26
time elapsed: 19.015682 sec, perf: 13.147044 GFLOPS, cpu_id: 5
time elapsed: 19.020045 sec, perf: 13.144028 GFLOPS, cpu_id: 7
time elapsed: 19.125856 sec, perf: 13.071311 GFLOPS, cpu_id: 9
time elapsed: 19.370517 sec, perf: 12.906212 GFLOPS, cpu_id: 0
time elapsed: 19.027991 sec, perf: 13.138539 GFLOPS, cpu_id: 31
time elapsed: 19.146575 sec, perf: 13.057166 GFLOPS, cpu_id: 28
time elapsed: 18.984508 sec, perf: 13.168632 GFLOPS, cpu_id: 16
time elapsed: 19.358446 sec, perf: 12.914260 GFLOPS, cpu_id: 14
time elapsed: 19.535623 sec, perf: 12.797135 GFLOPS, cpu_id: 23
time elapsed: 19.365136 sec, perf: 12.909798 GFLOPS, cpu_id: 22
time elapsed: 19.535934 sec, perf: 12.796931 GFLOPS, cpu_id: 2
