system has 32 processor(s). 
time elapsed: 15.694956 sec, perf: 15.928685 GFLOPS, cpu_id: 18
time elapsed: 15.888857 sec, perf: 15.734297 GFLOPS, cpu_id: 29
time elapsed: 15.528279 sec, perf: 16.099659 GFLOPS, cpu_id: 15
time elapsed: 15.863905 sec, perf: 15.759046 GFLOPS, cpu_id: 9
time elapsed: 15.557161 sec, perf: 16.069771 GFLOPS, cpu_id: 20
time elapsed: 15.596042 sec, perf: 16.029708 GFLOPS, cpu_id: 4
time elapsed: 15.704123 sec, perf: 15.919386 GFLOPS, cpu_id: 26
time elapsed: 15.669752 sec, perf: 15.954305 GFLOPS, cpu_id: 14
time elapsed: 15.735878 sec, perf: 15.887261 GFLOPS, cpu_id: 8
time elapsed: 15.675857 sec, perf: 15.948092 GFLOPS, cpu_id: 2
time elapsed: 15.606322 sec, perf: 16.019149 GFLOPS, cpu_id: 6
time elapsed: 15.882810 sec, perf: 15.740288 GFLOPS, cpu_id: 27
time elapsed: 15.844974 sec, perf: 15.777874 GFLOPS, cpu_id: 24
time elapsed: 15.836040 sec, perf: 15.786775 GFLOPS, cpu_id: 11
time elapsed: 15.845711 sec, perf: 15.777140 GFLOPS, cpu_id: 21
time elapsed: 15.937518 sec, perf: 15.686257 GFLOPS, cpu_id: 25
time elapsed: 16.727694 sec, perf: 14.945276 GFLOPS, cpu_id: 12
time elapsed: 16.630128 sec, perf: 15.032957 GFLOPS, cpu_id: 31
node09
system has 32 processor(s). 
time elapsed: 15.624201 sec, perf: 16.000819 GFLOPS, cpu_id: 3
time elapsed: 15.642330 sec, perf: 15.982274 GFLOPS, cpu_id: 27
time elapsed: 15.627249 sec, perf: 15.997698 GFLOPS, cpu_id: 16
time elapsed: 15.510093 sec, perf: 16.118537 GFLOPS, cpu_id: 11
time elapsed: 15.789873 sec, perf: 15.832933 GFLOPS, cpu_id: 22
time elapsed: 15.513748 sec, perf: 16.114739 GFLOPS, cpu_id: 18
time elapsed: 15.525289 sec, perf: 16.102760 GFLOPS, cpu_id: 0
time elapsed: 15.473260 sec, perf: 16.156906 GFLOPS, cpu_id: 13
time elapsed: 15.879386 sec, perf: 15.743682 GFLOPS, cpu_id: 19
time elapsed: 15.506303 sec, perf: 16.122476 GFLOPS, cpu_id: 1
time elapsed: 15.488636 sec, perf: 16.140866 GFLOPS, cpu_id: 14
time elapsed: 15.636653 sec, perf: 15.988076 GFLOPS, cpu_id: 10
time elapsed: 15.523585 sec, perf: 16.104528 GFLOPS, cpu_id: 15
time elapsed: 15.479666 sec, perf: 16.150219 GFLOPS, cpu_id: 12
time elapsed: 16.030957 sec, perf: 15.594827 GFLOPS, cpu_id: 5
time elapsed: 15.743963 sec, perf: 15.879102 GFLOPS, cpu_id: 9
time elapsed: 15.579802 sec, perf: 16.046417 GFLOPS, cpu_id: 21
time elapsed: 15.766546 sec, perf: 15.856359 GFLOPS, cpu_id: 29
time elapsed: 15.606646 sec, perf: 16.018816 GFLOPS, cpu_id: 2
time elapsed: 15.886394 sec, perf: 15.736736 GFLOPS, cpu_id: 7
time elapsed: 15.844328 sec, perf: 15.778517 GFLOPS, cpu_id: 20
time elapsed: 15.496632 sec, perf: 16.132538 GFLOPS, cpu_id: 23
time elapsed: 15.586909 sec, perf: 16.039100 GFLOPS, cpu_id: 17
time elapsed: 15.498026 sec, perf: 16.131087 GFLOPS, cpu_id: 8
time elapsed: 15.755783 sec, perf: 15.867190 GFLOPS, cpu_id: 6
time elapsed: 15.800783 sec, perf: 15.822001 GFLOPS, cpu_id: 26
time elapsed: 15.817432 sec, perf: 15.805347 GFLOPS, cpu_id: 25
time elapsed: 16.060994 sec, perf: 15.565662 GFLOPS, cpu_id: 30
time elapsed: 15.787687 sec, perf: 15.835125 GFLOPS, cpu_id: 4
time elapsed: 16.112932 sec, perf: 15.515488 GFLOPS, cpu_id: 24
time elapsed: 16.099648 sec, perf: 15.528290 GFLOPS, cpu_id: 31
time elapsed: 16.093350 sec, perf: 15.534366 GFLOPS, cpu_id: 28
node01
system has 32 processor(s). 
time elapsed: 15.502278 sec, perf: 16.126662 GFLOPS, cpu_id: 17
time elapsed: 15.468652 sec, perf: 16.161718 GFLOPS, cpu_id: 0
time elapsed: 15.560028 sec, perf: 16.066809 GFLOPS, cpu_id: 28
time elapsed: 15.579597 sec, perf: 16.046628 GFLOPS, cpu_id: 30
time elapsed: 15.461508 sec, perf: 16.169186 GFLOPS, cpu_id: 7
time elapsed: 15.458772 sec, perf: 16.172047 GFLOPS, cpu_id: 12
time elapsed: 15.477408 sec, perf: 16.152575 GFLOPS, cpu_id: 6
time elapsed: 15.535811 sec, perf: 16.091854 GFLOPS, cpu_id: 24
time elapsed: 15.696605 sec, perf: 15.927011 GFLOPS, cpu_id: 13
time elapsed: 15.548153 sec, perf: 16.079080 GFLOPS, cpu_id: 25
time elapsed: 15.512908 sec, perf: 16.115612 GFLOPS, cpu_id: 15
time elapsed: 15.472659 sec, perf: 16.157533 GFLOPS, cpu_id: 16
time elapsed: 15.773977 sec, perf: 15.848888 GFLOPS, cpu_id: 11
time elapsed: 15.599572 sec, perf: 16.026081 GFLOPS, cpu_id: 31
time elapsed: 15.512942 sec, perf: 16.115576 GFLOPS, cpu_id: 29
time elapsed: 15.929936 sec, perf: 15.693723 GFLOPS, cpu_id: 3
time elapsed: 15.911789 sec, perf: 15.711621 GFLOPS, cpu_id: 2
time elapsed: 15.797463 sec, perf: 15.825326 GFLOPS, cpu_id: 19
time elapsed: 15.555124 sec, perf: 16.071874 GFLOPS, cpu_id: 26
time elapsed: 15.779713 sec, perf: 15.843127 GFLOPS, cpu_id: 5
time elapsed: 15.722041 sec, perf: 15.901243 GFLOPS, cpu_id: 1
time elapsed: 15.902555 sec, perf: 15.720744 GFLOPS, cpu_id: 18
time elapsed: 16.190669 sec, perf: 15.440993 GFLOPS, cpu_id: 9
