time elapsed: 15.617917 sec, perf: 16.007256 GFLOPS, cpu_id: 26
time elapsed: 15.908603 sec, perf: 15.714768 GFLOPS, cpu_id: 2
time elapsed: 15.546123 sec, perf: 16.081179 GFLOPS, cpu_id: 24
time elapsed: 16.158648 sec, perf: 15.471592 GFLOPS, cpu_id: 23
time elapsed: 15.629060 sec, perf: 15.995844 GFLOPS, cpu_id: 11
time elapsed: 15.588475 sec, perf: 16.037489 GFLOPS, cpu_id: 16
time elapsed: 15.910546 sec, perf: 15.712848 GFLOPS, cpu_id: 22
time elapsed: 16.156504 sec, perf: 15.473645 GFLOPS, cpu_id: 13
time elapsed: 15.802635 sec, perf: 15.820146 GFLOPS, cpu_id: 15
time elapsed: 16.051716 sec, perf: 15.574659 GFLOPS, cpu_id: 12
time elapsed: 16.199149 sec, perf: 15.432909 GFLOPS, cpu_id: 30
time elapsed: 16.309421 sec, perf: 15.328564 GFLOPS, cpu_id: 17
time elapsed: 16.123567 sec, perf: 15.505254 GFLOPS, cpu_id: 29
time elapsed: 16.364749 sec, perf: 15.276739 GFLOPS, cpu_id: 31
time elapsed: 16.263177 sec, perf: 15.372150 GFLOPS, cpu_id: 8
time elapsed: 16.000890 sec, perf: 15.624131 GFLOPS, cpu_id: 7
time elapsed: 15.320207 sec, perf: 16.318318 GFLOPS, cpu_id: 2
time elapsed: 15.727014 sec, perf: 15.896215 GFLOPS, cpu_id: 7
time elapsed: 15.881887 sec, perf: 15.741202 GFLOPS, cpu_id: 9
time elapsed: 15.912774 sec, perf: 15.710648 GFLOPS, cpu_id: 28
time elapsed: 15.514377 sec, perf: 16.114086 GFLOPS, cpu_id: 25
time elapsed: 15.672613 sec, perf: 15.951393 GFLOPS, cpu_id: 23
time elapsed: 15.610290 sec, perf: 16.015078 GFLOPS, cpu_id: 0
time elapsed: 15.770310 sec, perf: 15.852573 GFLOPS, cpu_id: 21
time elapsed: 15.774814 sec, perf: 15.848047 GFLOPS, cpu_id: 20
time elapsed: 15.506871 sec, perf: 16.121886 GFLOPS, cpu_id: 17
time elapsed: 15.618858 sec, perf: 16.006292 GFLOPS, cpu_id: 19
time elapsed: 15.578066 sec, perf: 16.048205 GFLOPS, cpu_id: 1
time elapsed: 15.688618 sec, perf: 15.935120 GFLOPS, cpu_id: 5
time elapsed: 15.798999 sec, perf: 15.823787 GFLOPS, cpu_id: 13
time elapsed: 15.937873 sec, perf: 15.685907 GFLOPS, cpu_id: 15
time elapsed: 15.824443 sec, perf: 15.798345 GFLOPS, cpu_id: 11
time elapsed: 15.528282 sec, perf: 16.099656 GFLOPS, cpu_id: 26
time elapsed: 15.919346 sec, perf: 15.704163 GFLOPS, cpu_id: 31
time elapsed: 15.851426 sec, perf: 15.771452 GFLOPS, cpu_id: 29
time elapsed: 15.970246 sec, perf: 15.654111 GFLOPS, cpu_id: 30
time elapsed: 15.729132 sec, perf: 15.894075 GFLOPS, cpu_id: 3
time elapsed: 15.870487 sec, perf: 15.752510 GFLOPS, cpu_id: 16
time elapsed: 16.133207 sec, perf: 15.495989 GFLOPS, cpu_id: 6
time elapsed: 15.672157 sec, perf: 15.951857 GFLOPS, cpu_id: 14
time elapsed: 15.567125 sec, perf: 16.059484 GFLOPS, cpu_id: 27
time elapsed: 15.756554 sec, perf: 15.866413 GFLOPS, cpu_id: 22
time elapsed: 16.062043 sec, perf: 15.564645 GFLOPS, cpu_id: 4
time elapsed: 16.486572 sec, perf: 15.163856 GFLOPS, cpu_id: 8
time elapsed: 16.260525 sec, perf: 15.374658 GFLOPS, cpu_id: 18
time elapsed: 17.345637 sec, perf: 14.412846 GFLOPS, cpu_id: 10
time elapsed: 17.767768 sec, perf: 14.070422 GFLOPS, cpu_id: 12
time elapsed: 18.524014 sec, perf: 13.495995 GFLOPS, cpu_id: 24
time elapsed: 15.964835 sec, perf: 15.659416 GFLOPS, cpu_id: 5
time elapsed: 16.171238 sec, perf: 15.459547 GFLOPS, cpu_id: 13
time elapsed: 16.188914 sec, perf: 15.442667 GFLOPS, cpu_id: 19
time elapsed: 16.298921 sec, perf: 15.338439 GFLOPS, cpu_id: 23
time elapsed: 16.162274 sec, perf: 15.468121 GFLOPS, cpu_id: 15
time elapsed: 16.127454 sec, perf: 15.501517 GFLOPS, cpu_id: 25
time elapsed: 16.124160 sec, perf: 15.504684 GFLOPS, cpu_id: 17
time elapsed: 16.450460 sec, perf: 15.197143 GFLOPS, cpu_id: 1
time elapsed: 16.714546 sec, perf: 14.957032 GFLOPS, cpu_id: 8
time elapsed: 16.775569 sec, perf: 14.902624 GFLOPS, cpu_id: 10
time elapsed: 16.635572 sec, perf: 15.028038 GFLOPS, cpu_id: 7
time elapsed: 16.123797 sec, perf: 15.505033 GFLOPS, cpu_id: 18
time elapsed: 16.941790 sec, perf: 14.756410 GFLOPS, cpu_id: 28
time elapsed: 16.801959 sec, perf: 14.879218 GFLOPS, cpu_id: 0
time elapsed: 16.900263 sec, perf: 14.792669 GFLOPS, cpu_id: 21
time elapsed: 16.939935 sec, perf: 14.758026 GFLOPS, cpu_id: 16
time elapsed: 17.015273 sec, perf: 14.692683 GFLOPS, cpu_id: 9
time elapsed: 16.486419 sec, perf: 15.163996 GFLOPS, cpu_id: 11
time elapsed: 16.231788 sec, perf: 15.401877 GFLOPS, cpu_id: 20
time elapsed: 16.144191 sec, perf: 15.485446 GFLOPS, cpu_id: 4
time elapsed: 17.030801 sec, perf: 14.679286 GFLOPS, cpu_id: 14
time elapsed: 16.983040 sec, perf: 14.720568 GFLOPS, cpu_id: 22
time elapsed: 16.836702 sec, perf: 14.848514 GFLOPS, cpu_id: 30
time elapsed: 16.682131 sec, perf: 14.986095 GFLOPS, cpu_id: 26
time elapsed: 17.094763 sec, perf: 14.624362 GFLOPS, cpu_id: 31
time elapsed: 16.942828 sec, perf: 14.755506 GFLOPS, cpu_id: 6
time elapsed: 16.374738 sec, perf: 15.267420 GFLOPS, cpu_id: 2
time elapsed: 16.996919 sec, perf: 14.708548 GFLOPS, cpu_id: 27
time elapsed: 16.790644 sec, perf: 14.889244 GFLOPS, cpu_id: 29
time elapsed: 16.746478 sec, perf: 14.928512 GFLOPS, cpu_id: 24
time elapsed: 17.865344 sec, perf: 13.993573 GFLOPS, cpu_id: 12
time elapsed: 18.077528 sec, perf: 13.829324 GFLOPS, cpu_id: 3
time elapsed: 15.836722 sec, perf: 15.786095 GFLOPS, cpu_id: 1
time elapsed: 16.342992 sec, perf: 15.297076 GFLOPS, cpu_id: 7
time elapsed: 16.371247 sec, perf: 15.270675 GFLOPS, cpu_id: 29
time elapsed: 15.512116 sec, perf: 16.116434 GFLOPS, cpu_id: 17
time elapsed: 15.657546 sec, perf: 15.966742 GFLOPS, cpu_id: 8
time elapsed: 15.519015 sec, perf: 16.109270 GFLOPS, cpu_id: 16
time elapsed: 15.541437 sec, perf: 16.086028 GFLOPS, cpu_id: 19
time elapsed: 15.521584 sec, perf: 16.106604 GFLOPS, cpu_id: 27
time elapsed: 15.569773 sec, perf: 16.056753 GFLOPS, cpu_id: 14
time elapsed: 15.741191 sec, perf: 15.881898 GFLOPS, cpu_id: 31
time elapsed: 15.572884 sec, perf: 16.053545 GFLOPS, cpu_id: 26
time elapsed: 15.855586 sec, perf: 15.767314 GFLOPS, cpu_id: 12
time elapsed: 16.100148 sec, perf: 15.527807 GFLOPS, cpu_id: 6
time elapsed: 15.784567 sec, perf: 15.838255 GFLOPS, cpu_id: 20
time elapsed: 16.032948 sec, perf: 15.592890 GFLOPS, cpu_id: 15
time elapsed: 15.667540 sec, perf: 15.956557 GFLOPS, cpu_id: 30
time elapsed: 16.038622 sec, perf: 15.587374 GFLOPS, cpu_id: 22
time elapsed: 15.610091 sec, perf: 16.015281 GFLOPS, cpu_id: 9
time elapsed: 16.173265 sec, perf: 15.457609 GFLOPS, cpu_id: 28
time elapsed: 16.085421 sec, perf: 15.542024 GFLOPS, cpu_id: 0
time elapsed: 16.321069 sec, perf: 15.317624 GFLOPS, cpu_id: 18
time elapsed: 16.256302 sec, perf: 15.378651 GFLOPS, cpu_id: 24
time elapsed: 16.115709 sec, perf: 15.512814 GFLOPS, cpu_id: 4
time elapsed: 16.206916 sec, perf: 15.425513 GFLOPS, cpu_id: 25
time elapsed: 16.495746 sec, perf: 15.155423 GFLOPS, cpu_id: 13
time elapsed: 16.657323 sec, perf: 15.008414 GFLOPS, cpu_id: 11
