node03
system has 32 processor(s). 
time elapsed: 15.613231 sec, perf: 16.012061 GFLOPS, cpu_id: 0
time elapsed: 16.457484 sec, perf: 15.190657 GFLOPS, cpu_id: 24
time elapsed: 15.847632 sec, perf: 15.775227 GFLOPS, cpu_id: 17
time elapsed: 16.024756 sec, perf: 15.600861 GFLOPS, cpu_id: 25
time elapsed: 16.205467 sec, perf: 15.426893 GFLOPS, cpu_id: 28
time elapsed: 16.207303 sec, perf: 15.425145 GFLOPS, cpu_id: 13
time elapsed: 16.354560 sec, perf: 15.286257 GFLOPS, cpu_id: 22
time elapsed: 16.379591 sec, perf: 15.262897 GFLOPS, cpu_id: 21
time elapsed: 16.302947 sec, perf: 15.334651 GFLOPS, cpu_id: 18
time elapsed: 16.309824 sec, perf: 15.328185 GFLOPS, cpu_id: 26
time elapsed: 16.244034 sec, perf: 15.390266 GFLOPS, cpu_id: 29
time elapsed: 15.555864 sec, perf: 16.071110 GFLOPS, cpu_id: 7
time elapsed: 15.711083 sec, perf: 15.912334 GFLOPS, cpu_id: 6
time elapsed: 16.394782 sec, perf: 15.248754 GFLOPS, cpu_id: 12
time elapsed: 16.509137 sec, perf: 15.143129 GFLOPS, cpu_id: 15
time elapsed: 16.644575 sec, perf: 15.019909 GFLOPS, cpu_id: 9
time elapsed: 16.433109 sec, perf: 15.213189 GFLOPS, cpu_id: 20
time elapsed: 15.716129 sec, perf: 15.907225 GFLOPS, cpu_id: 31
node08
system has 32 processor(s). 
time elapsed: 15.805231 sec, perf: 15.817548 GFLOPS, cpu_id: 20
time elapsed: 15.805747 sec, perf: 15.817031 GFLOPS, cpu_id: 15
time elapsed: 15.619528 sec, perf: 16.005605 GFLOPS, cpu_id: 1
time elapsed: 15.560989 sec, perf: 16.065817 GFLOPS, cpu_id: 30
time elapsed: 15.543452 sec, perf: 16.083943 GFLOPS, cpu_id: 8
time elapsed: 15.636278 sec, perf: 15.988460 GFLOPS, cpu_id: 4
